school_code,school_name,province,district,Sector,school_location,school_status,school_settings,perc_with_50andplus,on_grid_electricity,has_internet,has_computer_access,avg_classroom_size_2024_25,double_shift,Leadership_marks_avg,Num_leader_records
570301,GS Biharagu,East,Bugesera,Kamabuye,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level + General upper secondary,27.90178680419922,1.0,1,0.0,58.0,0.0,76.9653230238307,1.0
570302,EP Murago,East,Bugesera,Kamabuye,RURAL,PUBLIC,Preprimary + Primary,35.33123016357422,1.0,1,0.0,64.0,0.0,81.086285814116,1.0
570303,EP Murambo,,,,,,,23.68421173095703,,0,,,,61.3432130511909,1.0
570304,GS Nyakayaga,East,Bugesera,Kamabuye,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level + General upper secondary,51.90476226806641,1.0,1,0.0,58.0,0.0,77.11732962430631,2.0
570305,GS TUNDA,East,Bugesera,Kamabuye,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level,45.30791473388672,1.0,1,0.0,64.0,1.0,75.80285277323634,2.0
570306,EP Munzenze,East,Bugesera,Kamabuye,RURAL,PUBLIC,Preprimary + Primary,50.0,1.0,1,0.0,64.0,0.0,77.5703571011392,1.0
570307,GS  NDAMA,East,Bugesera,Kamabuye,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level,64.37177276611328,1.0,1,0.0,64.0,1.0,78.86478472244595,2.0
570401,GS Gakomeye,East,Bugesera,Mareba,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,65.09635925292969,1.0,1,0.0,58.0,0.0,74.8587769817497,1.0
570402,EP Rukoyoyo,East,Bugesera,Mareba,RURAL,PUBLIC,Preprimary + Primary,24.40476036071777,1.0,1,0.0,64.0,0.0,79.9412762958143,1.0
570403,GS MAREBA,East,Bugesera,Mareba,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level + General upper secondary + TVET,51.06035995483398,1.0,1,1.0,64.0,1.0,80.38404360870834,2.0
570405,GS RANGO II,East,Bugesera,Mareba,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,49.27007293701172,1.0,1,0.0,58.0,0.0,76.62520514192701,2.0
